Country Name,GDP per capita,CO2 emissions,Total greenhouse gas emissions ,Forest area,"Population, total",Methane emissions
Algeria,2431.55136,2.466365604,122219.4894,0.69990847,25518074,54129.63435
American Samoa,..,..,..,90.35,47818,..
Angola,949.9213555,0.554941321,43185.60921,63.57807011,11828638,21316.78281
Antigua and Barbuda,7255.406303,3.44555331,358.408496,22.97727273,63328,125.550614
Argentina,4330.968191,3.073563154,249188.7612,12.86371493,32637657,111946.93
Aruba,11638.73371,..,..,2.333333333,65712,..
Australia,18248.94071,15.43718277,490531.2507,17.42735899,17065128,143963.4518
"Bahamas, The",11696.51137,7.442764308,2183.995157,50.93506494,270679,144.817313
Bahrain,8174.797232,20.75200322,15950.83482,0.31884058,517418,5048.410585
Barbados,7772.808757,3.879660676,3128.995934,14.65116279,258868,2072.516828
Belize,2988.60482,1.863748638,6521.858891,70.1459886,182589,6108.344355
Benin,381.8050563,0.06430607,4047.791367,42.88001064,5133419,2162.093028
Bermuda,26841.51974,..,..,18.51851852,59326,..
Bolivia,685.9427177,1.466687636,30871.86234,53.35984492,7096194,15435.0925
Botswana,2825.724781,2.092772577,12787.36293,33.17929173,1341474,5533.478939
Brazil,3065.242357,1.313131623,592496.8304,70.45802056,150706446,284532.9125
British Virgin Islands,..,..,..,24.73333333,15617,..
Brunei Darussalam,13440.66929,12.44731377,4729.264158,78.36812144,261928,1414.806884
Burkina Faso,339.6318225,0.065061495,11113.27877,28.20394737,9131361,6143.182661
Burundi,206.4449283,0.034209898,1507.640349,10.76635514,5483793,599.927605
Cabo Verde,841.8050176,0.504165261,312.412261,3.816377171,364563,76.150374
Cambodia,..,0.141448003,16129.67076,62.34302062,8910808,12141.99442
Cameroon,1077.333545,0.253706743,22792.04228,47.597893,11430520,14246.12853
Canada,21525.86114,15.14896932,543049.4519,38.84551156,27691138,68724.01167
Cayman Islands,..,..,..,54.70833333,26027,..
Central African Republic,512.850879,0.052683644,16649.89732,37.24517641,2809221,8576.118645
Chad,298.3670792,0.066740243,14595.47821,5.344663278,5827069,8524.781016
Chile,2483.560862,2.288383577,45415.91931,20.50490093,13342868,10067.82959
China,347.5783659,1.914546263,3238858.656,16.73800655,1135185000,763743.9634
Colombia,1467.547436,1.514180698,124703.6395,58.54721947,32601393,57093.07
Comoros,996.5280531,0.15193021,258.076718,24.75013434,431119,152.907518
"Congo, Dem. Rep.",259.237092,0.088336127,38391.29991,66.44273395,35987541,21776.6537
"Congo, Rep.",1173.264436,1.341956499,10143.19831,65.34407028,2385435,5723.369677
Costa Rica,1808.495959,0.909110195,8492.885741,56.9408539,3158253,3976.46
Cote d'Ivoire,906.4115132,0.227143354,9027.642098,24.68823899,11910540,3956.222143
Cuba,2695.614865,3.352091152,54701.05486,19.16201117,10626680,12556.085
Curacao,..,..,..,..,145400,..
Djibouti,783.6958542,0.47490094,912.456036,0.241587575,577173,440.653474
Dominica,2899.060601,0.902404974,189.257789,67.08,69481,97.730494
Dominican Republic,992.2389642,1.102636497,15759.75316,33.01366177,7129004,5956.9375
Ecuador,1458.326346,1.475869911,37539.07263,52.85439243,10449837,18403.8125
"Egypt, Arab Rep.",751.1874902,1.533618237,138196.7387,0.044010247,57214630,35446.2
El Salvador,897.5929821,0.444050776,6857.134022,34.69498069,5367179,3218.693839
Equatorial Guinea,240.832676,0.149500912,179.349286,96.22638146,465549,96.486517
Eritrea,..,0,3678.342635,..,2149960,2458.632313
Eswatini,1305.24553,1.28944475,2831.398118,26.81046512,854011,1262.491185
Ethiopia,254.2952546,0.048262176,66869.2446,18.5363851,47878073,41491.66773
Fiji,1713.180631,0.913573287,1727.324622,51.43349754,780430,682.738024
French Polynesia,15728.7188,..,..,39.46174863,211089,..
Gabon,6055.060247,4.169891397,12620.26561,92.21725463,983028,8240.896977
"Gambia, The",304.707688,0.186908523,4274.708319,40.9743083,1040616,3809.922397
Ghana,381.2464191,0.162937977,11517.41337,43.61545223,15446982,4969.69
Grenada,2807.745444,1.160055327,1843.497447,52.05882353,99047,1721.385065
Guam,..,..,..,44.44444444,138263,..
Guatemala,845.3148767,0.434469617,11294.17401,44.61739455,9050115,4976.45
Guinea,419.6868059,0.157235946,8284.744216,29.61093928,6354145,4781.080192
Guinea-Bissau,250.5898464,0.176570103,1407.375898,79.42140825,973551,739.260037
Guyana,530.8175214,1.568564989,2291.315889,94.499111,747116,823.391263
Haiti,447.0962904,0.147346026,5331.60407,13.89404935,6925331,3330.885383
Honduras,974.2294838,0.485570231,11334.65097,62.45222987,5053234,7023.732103
"Hong Kong SAR, China",13485.63145,..,..,..,5704500,..
Indonesia,582.6789677,0.814355526,468362.6054,65.43771425,182159874,280038.5138
"Iran, Islamic Rep.",2237.052261,3.557246653,320858.7007,5.572374076,55793629,104156.1538
Iraq,10216.56881,3.636029826,103704.0345,1.838260512,17658381,35212.7494
Israel,..,7.254484979,44103.52689,6.099815157,4660000,8332.013509
Jamaica,1919.795357,3.121532757,8991.10227,48.13296399,2392030,1034.240312
Japan,25801.39504,8.831598341,1181858.796,68.43115743,123478000,36979.31684
Jordan,1195.225836,2.854116274,18609.45169,1.10494107,3480587,8179.088209
Kenya,370.1001417,0.270655694,35102.28384,6.779597287,23162269,18442.38365
Kiribati,571.4990747,0.319471807,40.071883,1.456790123,75124,13.495188
"Korea, Dem. People's Rep.",..,5.736069044,154776.867,57.40411926,20799523,26626.96247
"Korea, Rep.",6609.997283,5.777465417,280644.328,67.91416131,42869283,24244.1425
Kuwait,11002.06562,17.39073327,39339.36468,0.193602694,1674938,9798.489182
Lao PDR,200.6191481,0.118893679,6798.521481,77.30935875,4314443,4826.472918
Lebanon,789.8503921,1.564432201,7272.535427,13.65591398,3593700,1228.305441
Lesotho,331.5237678,0.775710021,2968.466485,1.137022398,1798997,986.203915
Liberia,..,0.205373414,842.896991,88.5095515,2209731,217.262899
Libya,6821.874017,6.750912147,80127.40463,0.123327688,4236983,50200.09999
"Macao SAR, China",9269.648637,..,..,..,350227,..
Madagascar,330.8435257,0.074993507,25036.83837,23.54687554,11882762,16544.80238
Malawi,286.9165596,0.075733267,3264.095627,37.14149342,9539665,1347.2075
Malaysia,2513.241395,3.117818784,79483.01156,62.75604931,17517054,19889.01722
Mali,299.8216158,0.048743402,15402.27391,10.89666363,8945026,8800.238992
Malta,7191.923603,6.535279668,2527.656934,1.09375,354170,154.225747
Marshall Islands,1704.258692,0,25.086394,..,46047,24.527909
Mauritania,751.1934824,0.419635429,6580.528913,0.461860871,2006027,3918.891333
Mauritius,2506.184877,1.099478171,2304.87263,20.23152709,1058775,901.741405
Mexico,3196.920061,3.29875169,409784.5411,36.31351115,81720428,100576.005
"Micronesia, Fed. Sts.",1492.855187,0,7.616981,..,98603,2.685678
Mongolia,1184.762914,5.999769597,30683.80087,9.274680548,2161433,8675.9075
Morocco,1219.424438,0.874932349,36790.4989,12.29058929,24570814,8909.760945
Mozambique,..,0.083980414,18384.20243,55.16162669,13303459,9228.5725
Myanmar,52.74855566,0.101821584,54226.40894,60.00930318,40099553,40496.17698
Namibia,2037.910472,..,..,10.65137436,1369011,4416.452657
Nauru,..,13.15899146,130.235058,0,9598,3.448874
New Caledonia,14800.79125,..,..,45.4666302,170899,..
New Zealand,13663.02162,6.700312331,71127.95079,35.59405264,3329800,32973.42867
Nicaragua,238.7650098,0.457422501,9508.018498,53.1769985,4227820,5490.705513
Niger,419.6038954,0.067549609,12825.53035,1.535485908,8370648,8626.514588
Nigeria,567.5179022,0.764263696,233668.5778,29.1249053,95214257,140698.2976
Northern Mariana Islands,..,..,..,..,48002,..
Oman,6475.41707,6.605232183,20177.7082,0.009693053,1804524,7922.612522
Palau,..,0,12.622286,..,15293,12.622286
Panama,2626.14328,1.099157213,7768.88704,61.97740113,2449968,4014.673694
Papua New Guinea,833.0536633,0.56109074,6317.489165,80.37733516,3864972,2872.001245
Paraguay,1431.8392,0.510495308,32392.98337,64.298666,4059195,17602.6
Peru,1194.548315,0.944194967,44386.14919,59.72542188,22109099,17425.33866
Philippines,820.4871803,0.663899149,95359.11071,26.08850656,61558898,45380.79522
Puerto Rico,8652.507492,..,..,36.11386697,3537000,..
Qatar,16664.83143,28.3996151,16237.32718,0,441675,3567.751816
Rwanda,348.3878303,0.073273604,2744.880746,12.84961492,7319962,1401.294791
Samoa,747.7808483,0.529176031,332.043347,62.23674912,168186,207.249362
Sao Tome and Principe,..,0.386395553,60.176025,61.0625,120343,7.725011
Saudi Arabia,7349.703435,10.70951816,239708.4155,0.454484135,16004763,62742.47
Senegal,980.7545621,0.308691573,12410.99743,48.32057342,7536001,6440.501781
Seychelles,5642.072897,2.204094552,218.390392,73.26086957,69507,56.505737
Sierra Leone,150.1932538,0.073519416,3103.884924,43.31809365,4325388,2114.478264
Singapore,11861.75616,9.507300635,30891.22276,22.12970149,3047132,1282.640188
Sint Maarten (Dutch part),..,..,..,..,27845,..
Solomon Islands,662.852836,0.471664646,382.923627,90.92211504,324171,212.777643
Somalia,131.023239,0.105030707,24533.67538,13.20256958,6999096,17071.16111
South Africa,3160.878161,6.209372838,327848.562,14.95527125,39877570,59433.235
South Sudan,..,0.09132854,27694.53952,..,4750817,14879.67823
St. Kitts and Nevis,5346.472568,2.798011615,187.607755,42.30769231,40636,65.905643
St. Lucia,4073.264627,1.354874527,905.518408,34.86885246,142301,680.748073
St. Martin (French part),..,..,..,..,28127,..
St. Vincent and the Grenadines,2136.839516,0.734307075,155.883758,70.61538462,112487,65.464477
Sudan,1301.819092,0.254407994,48809.26411,12.93236953,21090886,26711.64276
Suriname,940.9917724,4.263991552,2816.594522,98.57455128,412756,760.090041
Syrian Arab Republic,1926.384607,2.610049999,71150.6085,2.024594624,12408996,34993.46117
Tanzania,167.1445465,0.072204806,39162.98575,64.78890269,26206012,21782.6775
Thailand,1545.276982,1.593487844,157976.9157,37.8966118,55228410,55421.19545
Timor-Leste,..,0,446.655,64.76798924,758106,329.271672
Togo,420.1367014,0.252222231,3542.386398,25.03511675,3875947,1496.669044
Tonga,1150.281297,0.851843974,253.824054,12.43055556,98727,122.370385
Trinidad and Tobago,4001.522284,10.38469252,20630.57438,47.18518519,1266518,7189.3425
Tunisia,1456.224489,1.73837204,21698.98866,4.145062436,8440023,5065.804833
Turks and Caicos Islands,..,..,..,11.07368421,11709,..
Tuvalu,961.0916948,0.697015901,16.955085,33.33333333,9182,9.494541
Uganda,244.7540723,0.044677974,13173.18294,17.89434963,17586630,7415.182638
United Arab Emirates,26682.84981,29.05579609,78601.83891,3.44973247,1900151,21809.86706
United States,23888.60001,19.40733586,5855541.47,33.02230821,249623000,672858.2748
Uruguay,2983.244161,1.234740193,28636.01992,4.559478917,3117012,18111.3975
Vanuatu,1119.280015,0.44339285,481.674125,36.28383921,150882,316.888937
"Venezuela, RB",2461.039355,5.145671932,291512.1715,58.98305085,19750579,172411.8151
Viet Nam,96.71929574,0.288852865,73263.51694,28.80567759,66912613,43289.80907
Virgin Islands (U.S.),..,..,..,70.11428571,103963,..
West Bank and Gaza,..,..,..,1.508305648,1978248,..
"Yemen, Rep.",945.3239017,0.496616068,16874.58611,1.039831809,13375121,7970.278882
Zambia,427.4064535,0.356577805,25447.64215,63.77809763,7686401,11986.85945
Zimbabwe,868.4901749,1.6349293,31983.42118,48.66661497,10113893,9561.341786
Afghanistan,..,0.191389345,11630.79506,1.852781994,10694796,6735.57274
Albania,617.2304355,1.844035463,11181.07427,28.78832117,3286542,3544.179018
Andorra,19208.67838,7.592152178,430.703269,34.04255319,53569,22.591023
Armenia,634.5673276,5.579919129,24389.02825,..,3556539,3651.259623
Austria,21680.98962,7.590106605,76630.27662,45.75460494,7677850,11849.61016
Azerbaijan,1238.271893,7.45396644,75481.47959,..,7175200,19093.13578
Bangladesh,294.9046524,0.107550001,91841.25556,14.75247753,107147651,65600.76852
Belarus,..,9.797486552,142017.9433,..,10189348,20534.53432
Belgium,20600.37528,10.96703557,130784.8565,..,9967379,13259.17184
Bhutan,515.2997216,0.331977179,862.080394,53.65066455,558442,564.387159
Bosnia and Herzegovina,..,5.332431452,30258.58061,..,4494310,5167.428595
Bulgaria,2366.529821,8.442677227,98303.01841,30.07321703,8718289,16367.627
Channel Islands,..,..,..,4.191919192,140601,..
Croatia,..,4.257867512,28569.6077,..,4777368,4047.170998
Cyprus,9641.575195,5.822701332,5440.329468,17.43614719,788500,531.058985
Czechia,3941.503094,14.82086892,184942.4971,..,10333355,23657.07211
Denmark,26891.44645,10.11060431,69121.51836,13.286,5140939,9631.63185
Estonia,..,22.01470328,39142.67466,..,1569174,2283.861119
Faroe Islands,20236.42893,..,..,0.05730659,47479,..
Finland,28364.64508,10.94225509,70363.50265,71.81893693,4986431,8545.715992
France,21865.55525,6.138336383,496236.894,26.36394517,58044701,70641.38415
Georgia,1561.849229,6.973823407,49720.01718,..,4802000,13760.72859
Germany,22303.96133,12.02658028,1129742.508,32.36616733,79433029,99831.43715
Gibraltar,..,..,..,0,27317,..
Greece,9600.185235,7.415999071,95288.73758,25.59,10196792,10826.88865
Greenland,18326.9295,..,..,0.00064384,55600,..
Hungary,..,6.499043569,89525.12001,20.18359853,10373988,11637.46563
Iceland,25384.91502,7.642312794,3347.741125,0.170274314,254826,510.438512
India,368.7497594,0.647451316,1237962.799,21.50484833,870452165,528077.742
Ireland,14031.30257,8.810964452,56752.35957,6.701117724,3513974,15465.51914
Isle of Man,..,..,..,6.070175439,68865,..
Italy,20825.78422,7.145053425,483327.0481,25.80582095,56719240,48747.72128
Kazakhstan,1647.41964,14.51253364,298754.678,..,16348000,43357.87087
Kosovo,..,..,..,..,1862000,..
Kyrgyz Republic,609.1728912,5.183617234,32425.55016,..,4391200,7316.657793
Latvia,..,7.050820626,25763.45465,..,2663151,4064.331934
Liechtenstein,49418.01552,6.917116496,201.879109,40.625,28765,1.938977
Lithuania,..,8.712631543,46012.59207,..,3697838,7124.09004
Luxembourg,33465.47821,29.55348959,12192.61792,..,381850,602.33325
Maldives,955.9336667,0.696577568,202.690508,2.733333333,224957,42.616712
Moldova,..,10.29410872,38140.30415,..,2965978,5500.060398
Monaco,81813.01979,..,..,0,30329,..
Montenegro,..,3.15868849,4487.55672,..,606372,953.946751
Nepal,184.9236477,0.047857598,21188.03518,39.66433566,19616530,16310.74007
Netherlands,21290.86038,10.1341403,205817.5754,10.22896919,14951510,29609.85486
North Macedonia,2299.044329,4.202822265,13899.89975,..,2044174,2588.25297
Norway,28242.9814,6.909250631,46087.62826,33.21615139,4241473,5607.602936
Pakistan,346.6685155,0.511428117,160495.1617,6.468957555,115414069,73526.04146
Poland,1731.209509,9.189383729,422343.8952,28.9986614,38110782,45216.04774
Portugal,7884.617988,4.113763718,56208.04725,37.14754098,9983218,11084.63871
Romania,1648.48523,7.440514942,223413.9697,27.77850447,23201835,29861.35631
Russian Federation,3494.062988,14.62148929,2969778.402,..,147969407,644926.9103
San Marino,..,..,..,16.66666667,23132,..
Serbia,..,8.160624835,82471.42823,..,7586000,15135.03847
Slovak Republic,2405.53516,10.3434357,66676.29942,..,5299187,7574.568327
Slovenia,..,6.77062559,17299.0812,..,1998161,2427.95248
Spain,13804.87679,5.530368159,275616.0461,27.84050136,38867322,34073.9811
Sri Lanka,466.8976566,0.223156186,23708.9147,37.47934939,17204094,17847.64101
Sweden,30593.67244,6.232880994,68991.81954,68.89335854,8558835,8544.312771
Switzerland,39574.53981,6.451697925,52841.49768,29.18090822,6715519,6438.125825
Tajikistan,485.3198618,2.033681195,17818.96324,..,5417860,4986.832479
Turkiye,2773.269759,2.562358003,205436.3401,25.70518301,54324142,38200.88184
Turkmenistan,806.3913503,12.00079671,153459.0073,..,3720278,105731.7627
Ukraine,1532.504639,13.27038584,825869.7083,..,51891400,91901.12248
United Kingdom,19095.467,9.813068799,749506.1766,11.48266027,57247586,111251.7682
Uzbekistan,651.4192097,5.741964895,168028.2002,..,20510000,39414.91162
