Country Name,GDP per capita (current US$),Total greenhouse gas emissions (kt of CO2 equivalent),Forest area (% of land area)
Afghanistan,512.0550982,31119.04539,1.852781994
Albania,5343.037704,8304.29494,28.7919708
Algeria,3354.153164,266702.6795,0.81830896
American Samoa,15609.77722,..,85.65
Andorra,37207.23887,577.573639,34.04255319
Angola,1450.905112,70781.0562,53.42695115
Antigua and Barbuda,15224.85859,1203.631334,18.45454545
Argentina,8500.837939,361433.0173,10.44071488
Armenia,4505.867742,10422.04117,11.5374078
Aruba,24008.12782,..,2.333333333
Australia,51868.24756,571903.1199,17.42131456
Austria,48789.49785,71017.8287,47.25096946
Azerbaijan,4229.910649,55351.99383,13.69418968
"Bahamas, The",23998.26802,2801.144379,50.93506494
Bahrain,23433.18724,54151.41004,0.891719745
Bangladesh,2233.305901,206570.3527,14.46877161
Barbados,16882.50152,3656.467698,14.65116279
Belarus,6542.86454,87868.32147,43.19440339
Belgium,45609.00349,100063.4878,22.76420079
Belize,5185.15807,1573.319685,55.98640947
Benin,1240.733155,16190.53196,27.80374246
Bermuda,107791.8864,..,18.51851852
Bhutan,3181.339747,1630.8557,71.44939696
Bolivia,3068.812555,55203.08943,46.92491461
Bosnia and Herzegovina,6095.104237,26053.3501,42.73261719
Botswana,5875.070606,12374.76398,26.91705045
Brazil,6923.699912,1064709.126,59.41747805
British Virgin Islands,..,..,24.13333333
Brunei Darussalam,27179.35289,11914.03262,72.10626186
Bulgaria,10148.3424,46492.85461,35.86035372
Burkina Faso,823.5524109,32262.81629,22.72076023
Burundi,216.8274175,4102.678292,10.8894081
Cabo Verde,3126.399859,791.61071,11.34491315
Cambodia,1577.91174,42363.17878,45.7079651
Cameroon,1539.130545,93348.64392,43.02951069
Canada,43349.67786,677709.2227,38.69551251
Cayman Islands,83897.50544,..,53
Central African Republic,435.4692478,21016.37573,35.80050724
Chad,643.7722157,89558.45681,3.425190597
Channel Islands,57339.52687,..,5.151515152
Chile,13173.78479,106722.3342,24.49215367
China,10408.71955,12942868.34,23.4313229
Colombia,5304.289129,186999.3355,53.30501127
Comoros,1519.58678,619.946774,17.68941429
"Congo, Dem. Rep.",524.6666862,56120.40776,55.64731259
"Congo, Rep.",2011.269479,19421.77959,64.26354319
Costa Rica,12179.25667,14405.0866,59.43732863
